#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 01 00 00 137  4.1  4.1 99.00 99.00 99.00 999 1021.4  19.6 999.0  16.5 99.0 99.00
2012 01 01 01 00 135  5.7  5.8 99.00 99.00 99.00 999 1021.7  18.9 999.0  17.7 99.0 99.00
2012 01 01 02 00 126  6.1  6.2 99.00 99.00 99.00 999 1021.9  18.3 999.0  17.6 99.0 99.00
2012 01 01 03 00 105  3.5  4.2 99.00 99.00 99.00 999 1022.2  16.2 999.0  16.0 99.0 99.00
2012 01 01 04 00 133  5.1  5.3 99.00 99.00 99.00 999 1022.4  16.8 999.0  16.8 99.0 99.00
2012 01 01 05 00 169  5.6  5.8 99.00 99.00 99.00 999 1022.6  18.9 999.0  16.3 99.0 99.00
2012 01 01 06 00 182  5.9  5.9 99.00 99.00 99.00 999 1022.5  19.8 999.0  16.8 99.0 99.00
2012 01 01 07 00 173  7.1  7.2 99.00 99.00 99.00 999 1022.0  20.1 999.0  16.8 99.0 99.00
2012 01 01 08 00 174  6.1  6.1 99.00 99.00 99.00 999 1022.1  18.4 999.0  17.0 99.0 99.00
2012 01 01 09 00 187  5.1  5.1 99.00 99.00 99.00 999 1022.2  19.2 999.0  18.5 99.0 99.00
2012 01 01 10 00 202  3.3  3.9 99.00 99.00 99.00 999 1022.4  18.3 999.0  17.6 99.0 99.00
2012 01 01 11 00 199  4.5  4.6 99.00 99.00 99.00 999 1022.7  17.5 999.0  17.2 99.0 99.00
2012 01 01 12 00 220  3.1  3.3 99.00 99.00 99.00 999 1023.6  17.9 999.0  17.3 99.0 99.00
2012 01 01 13 00 213  4.6  4.7 99.00 99.00 99.00 999 1024.3  17.3 999.0  17.0 99.0 99.00
2012 01 01 14 00 226  5.4  5.5 99.00 99.00 99.00 999 1024.9  18.0 999.0  17.4 99.0 99.00
2012 01 01 15 00 235  7.5  7.5 99.00 99.00 99.00 999 1025.7  17.6 999.0  17.2 99.0 99.00
2012 01 01 16 00 236  7.3  7.4 99.00 99.00 99.00 999 1025.7  17.7 999.0  17.4 99.0 99.00
2012 01 01 17 00 233  8.0  8.2 99.00 99.00 99.00 999 1025.0  18.6 999.0  18.4 99.0 99.00
2012 01 01 18 00 239  7.3  7.6 99.00 99.00 99.00 999 1024.0  18.9 999.0  18.8 99.0 99.00
2012 01 01 19 00 234  8.1  8.2 99.00 99.00 99.00 999 1023.0  19.0 999.0  18.9 99.0 99.00
2012 01 01 20 00 240  8.1  8.4 99.00 99.00 99.00 999 1022.6  18.6 999.0  18.2 99.0 99.00
2012 01 01 21 00 306  4.0  4.1 99.00 99.00 99.00 999 1023.1  18.9 999.0  18.9 99.0 99.00
2012 01 01 22 00 280  3.3  3.4 99.00 99.00 99.00 999 1023.2  19.6 999.0  19.2 99.0 99.00
2012 01 01 23 00 272  3.0  3.1 99.00 99.00 99.00 999 1023.4  19.0 999.0  18.6 99.0 99.00
2012 01 02 00 00 309  5.3  5.4 99.00 99.00 99.00 999 1024.5  19.0 999.0  19.0 99.0 99.00
2012 01 02 01 00 347 10.3 10.9 99.00 99.00 99.00 999 1025.3  17.8 999.0 999.0 99.0 99.00
2012 01 02 02 00 355 12.4 14.0 99.00 99.00 99.00 999 1026.1  17.0 999.0  10.5 99.0 99.00
2012 01 02 03 00 352 11.9 12.9 99.00 99.00 99.00 999 1027.2  16.0 999.0   8.4 99.0 99.00
2012 01 02 04 00 353 13.5 14.8 99.00 99.00 99.00 999 1027.3  15.3 999.0   8.2 99.0 99.00
2012 01 02 05 00 354 16.3 17.7 99.00 99.00 99.00 999 1027.2  14.4 999.0   6.4 99.0 99.00
2012 01 02 06 00 355 13.4 14.9 99.00 99.00 99.00 999 1027.5  13.6 999.0   6.9 99.0 99.00
2012 01 02 09 00  11 14.8 15.9 99.00 99.00 99.00 999 1027.8  12.1 999.0   2.9 99.0 99.00
2012 01 02 10 00  12 11.2 12.5 99.00 99.00 99.00 999 1028.5  11.7 999.0   3.9 99.0 99.00
